0.2,0.8,5,0.0,-121.5099715099715
0.2,0.8,20,0.0,-124.92877492877493
0.2,0.8,50,0.0,-123.2905982905983
0.2,1.2,5,0.0,-237.39316239316238
0.2,1.2,20,0.0,-237.67806267806267
0.2,1.2,50,0.0,-238.3903133903134
0.2,1.6,5,0.0,-356.5527065527065
0.2,1.6,20,0.0,-353.77492877492875
0.2,1.6,50,0.0,-349.5726495726496
0.5,0.8,5,0.0,2.1367521367521367
0.5,0.8,20,0.0,0.6410256410256411
0.5,0.8,50,0.0,2.492877492877493
0.5,1.2,5,0.0,-30.555555555555557
0.5,1.2,20,0.0,-33.04843304843305
0.5,1.2,50,0.0,-32.26495726495727
0.5,1.6,5,0.0,-76.42450142450143
0.5,1.6,20,0.0,-78.56125356125357
0.5,1.6,50,0.0,-77.20797720797721
0.8,0.8,5,0.0,36.53846153846154
0.8,0.8,20,0.0,34.9002849002849
0.8,0.8,50,0.0,35.826210826210826
0.8,1.2,5,0.0,21.937321937321936
0.8,1.2,20,0.0,21.011396011396013
0.8,1.2,50,0.0,21.296296296296298
0.8,1.6,5,0.0,2.92022792022792
0.8,1.6,20,0.0,1.210826210826211
0.8,1.6,50,0.0,-1.7806267806267806
